type,left,right,similarity,decision,source
Company,Reliance Industries Ltd,Reliance Industries,0.9447486400604248,MERGE_VECTOR,live_pipeline_run
Company,Activision Blizzard,Activision Blizzard Inc.,0.918491542339325,MERGE_VECTOR,live_pipeline_run
Company,Airbnb,Airbnb Inc.,0.8746915459632874,MERGE_VECTOR,live_pipeline_run
Technology,Chandrayaan-I,Chandrayaan-III,0.8583507537841797,MERGE_VECTOR,live_pipeline_run
Company,IBM,IBM Research,0.8352,REJECT_GUARD,manual_guard_test
Company,Samsung,Samsung Electronics America,0.8317,REJECT_GUARD,manual_guard_test
Company,Sam Altman,Steve Altman,0.824214,MERGE_VECTOR,manual_guard_test
Company,Intel,Intel Capital,0.7576,REJECT_GUARD,manual_guard_test
Company,Boeing,Boeing Defense,0.7366,REJECT_GUARD,manual_guard_test
Company,Ford,Ford Foundation,0.7001,REJECT_GUARD,manual_guard_test
Company,Apple,Apple Music,0.670162,REJECT_GUARD,manual_guard_test
Company,Amazon,Amazon rainforest,0.6427,REJECT_GUARD,manual_guard_test
Company,Microsoft,Microsoft Azure,0.6504,MERGE_VECTOR,manual_guard_test
Company,Washington,Washington Post,0.6343,MERGE_VECTOR,manual_guard_test
Company,Meta,Meta Quest,0.6255,REJECT_GUARD,manual_guard_test
Company,Kennedy,Kennedy Space Center,0.6109,REJECT_GUARD,manual_guard_test
Company,Java,Java island,0.602,REJECT_GUARD,manual_guard_test
Company,Google,Google Cloud,0.5455,REJECT_GUARD,manual_guard_test
Company,MSFT,Microsoft,1.0,MERGE_MANUAL,manual_alias_demo
